660,660,660,660,673,673,674,674,675,675,674,674,675,674,675,676,676,676,677,678,678,679,680,679,681,681,682,684,684,687,688,690,691,693,693,695,697,698,697,698,700,701,702,703,705,707,707,709,711,712,712
660,660,660,660,672,674,673,675,675,675,674,674,675,676,675,676,677,677,678,678,679,679,681,680,682,682,683,684,686,688,689,691,692,694,695,696,699,699,698,700,700,702,704,705,706,709,710,711,713,715,715
663,663,663,663,677,677,678,679,679,679,679,680,681,679,680,681,681,680,682,682,682,684,684,684,686,687,687,690,690,693,693,696,697,699,700,700,701,702,703,705,705,706,708,709,710,713,714,716,718,719,719
672,672,672,672,686,687,687,689,688,689,690,689,689,689,689,690,690,691,692,692,692,693,694,694,696,696,698,699,701,702,704,705,708,709,711,712,712,714,713,714,715,716,718,719,721,723,725,726,729,730,730
664,664,664,664,678,678,680,679,680,681,679,681,681,680,681,682,681,681,682,683,683,683,684,685,686,686,688,690,690,692,694,696,697,699,700,699,702,702,703,704,705,706,708,709,710,713,713,716,718,719,719
667,667,667,667,681,682,682,683,684,684,684,685,683,684,685,684,685,686,686,686,687,687,689,689,689,692,692,694,695,697,698,700,702,703,705,706,707,708,707,708,709,710,712,713,715,717,718,721,722,724,724
666,666,666,666,680,681,682,682,683,683,682,681,682,682,683,683,683,684,684,685,685,685,687,686,687,687,688,690,691,693,694,696,697,699,701,702,703,704,703,704,705,706,708,709,710,713,715,716,718,719,719
682,682,682,682,698,699,700,700,701,701,700,700,700,701,702,701,702,702,703,703,704,704,705,704,705,706,707,708,709,712,713,715,717,719,720,721,722,723,722,722,723,725,725,727,728,732,732,734,736,738,738
689,689,689,689,702,704,704,705,705,706,705,705,705,706,707,706,708,707,709,709,709,710,711,711,712,712,714,715,716,718,721,721,724,725,727,728,729,729,729,730,731,732,734,735,736,739,740,742,743,745,745
660,660,660,660,674,676,675,677,677,678,676,677,677,678,678,679,679,680,680,681,682,682,684,683,684,684,686,688,688,691,693,694,696,698,699,701,701,703,702,703,704,705,707,708,710,712,714,715,717,719,719
675,675,675,675,688,689,691,690,692,692,691,692,694,692,694,694,693,694,695,695,696,697,698,698,699,701,701,704,705,707,708,711,712,714,715,716,717,717,719,719,721,722,723,726,726,729,731,732,735,735,735
676,676,676,676,689,690,691,692,692,692,692,693,695,692,694,695,694,695,696,696,696,698,698,699,700,701,702,704,705,707,708,710,712,713,714,714,716,716,717,718,720,720,722,723,725,727,728,729,732,733,733
677,677,677,677,690,691,693,692,694,693,693,692,694,693,694,695,694,696,696,696,697,698,698,698,699,700,700,703,703,705,707,708,710,711,714,714,715,716,715,716,718,718,720,721,723,725,726,728,730,731,731
665,665,665,665,679,680,681,681,682,682,682,683,684,682,684,684,684,684,685,686,686,686,688,688,689,691,692,693,695,697,699,700,703,704,705,705,707,707,709,709,711,712,713,715,716,720,720,722,725,726,726
683,683,683,683,696,698,698,699,700,699,700,698,700,699,701,700,702,701,702,703,703,704,705,705,705,706,708,709,710,712,714,715,717,719,720,722,722,724,722,723,725,726,726,729,729,732,733,735,736,738,738
677,677,677,677,691,692,692,694,693,694,694,693,693,695,694,695,696,696,697,697,698,698,700,699,700,701,702,703,705,706,708,710,712,713,714,716,717,718,718,718,720,721,722,724,725,728,728,730,733,734,734
630,630,630,630,642,644,643,645,645,645,645,646,647,646,646,648,647,648,649,649,650,651,652,652,654,655,656,657,659,661,662,663,664,665,666,666,668,669,669,671,672,674,675,677,678,681,681,683,684,685,685
636,636,636,636,649,650,651,651,651,652,652,652,653,652,654,654,653,654,654,656,655,657,657,658,660,660,661,663,664,666,667,670,670,672,673,673,675,675,676,677,679,681,681,684,685,687,688,690,692,693,693
650,650,650,650,663,665,664,666,665,667,665,665,666,667,666,667,668,668,669,669,670,670,672,671,672,673,673,676,676,679,680,681,683,684,686,686,687,689,687,688,690,692,692,694,695,698,698,700,703,703,703
638,638,638,638,651,653,653,654,654,655,654,654,655,655,655,656,657,656,658,658,658,660,660,660,661,662,662,664,666,667,669,670,672,673,675,675,677,677,677,678,679,680,681,683,684,686,687,689,690,692,692
676,676,676,676,689,691,691,692,692,693,694,693,693,693,694,694,695,695,696,697,697,697,699,699,700,701,703,704,705,708,709,710,712,714,715,715,717,718,717,719,719,721,722,723,725,728,729,730,733,734,734
